year,city,country,avg_temp
1983,Allahabad,India,25.35
1984,Allahabad,India,25.69
1985,Allahabad,India,26.20
1986,Allahabad,India,25.73
1987,Allahabad,India,26.30
1988,Allahabad,India,26.34
1989,Allahabad,India,25.77
1990,Allahabad,India,25.79
1991,Allahabad,India,25.96
1992,Allahabad,India,26.09
1993,Allahabad,India,26.10
1994,Allahabad,India,26.03
1995,Allahabad,India,26.15
1996,Allahabad,India,26.10
1997,Allahabad,India,25.58
1998,Allahabad,India,26.35
1999,Allahabad,India,26.40
2000,Allahabad,India,26.13
2001,Allahabad,India,26.02
2002,Allahabad,India,26.79
2003,Allahabad,India,26.16
2004,Allahabad,India,26.25
2005,Allahabad,India,26.28
2006,Allahabad,India,26.39
2007,Allahabad,India,25.98
2008,Allahabad,India,25.78
2009,Allahabad,India,26.76
2010,Allahabad,India,26.81
2011,Allahabad,India,25.81
2012,Allahabad,India,26.21
2013,Allahabad,India,27.10
1796,Delhi,India,25.03
1797,Delhi,India,26.71
1798,Delhi,India,24.29
1799,Delhi,India,25.28
1800,Delhi,India,25.21
1801,Delhi,India,24.22
1802,Delhi,India,25.63
1803,Delhi,India,25.38
1804,Delhi,India,25.68
1805,Delhi,India,25.30
1806,Delhi,India,25.22
1807,Delhi,India,24.97
1808,Delhi,India,
1809,Delhi,India,
1810,Delhi,India,
1811,Delhi,India,
1812,Delhi,India,
1813,Delhi,India,24.56
1814,Delhi,India,23.73
1815,Delhi,India,24.09
1816,Delhi,India,23.70
1817,Delhi,India,23.86
1818,Delhi,India,24.37
1819,Delhi,India,23.90
1820,Delhi,India,24.12
1821,Delhi,India,24.83
1822,Delhi,India,24.93
1823,Delhi,India,24.63
1824,Delhi,India,25.30
1825,Delhi,India,25.11
1826,Delhi,India,25.12
1827,Delhi,India,25.36
1828,Delhi,India,24.90
1829,Delhi,India,24.71
1830,Delhi,India,25.07
1831,Delhi,India,24.43
1832,Delhi,India,24.62
1833,Delhi,India,24.85
1834,Delhi,India,24.82
1835,Delhi,India,23.90
1836,Delhi,India,24.54
1837,Delhi,India,24.42
1838,Delhi,India,24.38
1839,Delhi,India,24.45
1840,Delhi,India,24.72
1841,Delhi,India,24.49
1842,Delhi,India,24.78
1843,Delhi,India,24.75
1844,Delhi,India,24.36
1845,Delhi,India,24.60
1846,Delhi,India,25.16
1847,Delhi,India,24.66
1848,Delhi,India,24.45
1849,Delhi,India,24.49
1850,Delhi,India,24.78
1851,Delhi,India,24.76
1852,Delhi,India,24.65
1853,Delhi,India,24.88
1854,Delhi,India,25.02
1855,Delhi,India,25.24
1856,Delhi,India,23.86
1857,Delhi,India,24.30
1858,Delhi,India,
1859,Delhi,India,
1860,Delhi,India,
1861,Delhi,India,
1862,Delhi,India,
1863,Delhi,India,
1864,Delhi,India,
1865,Delhi,India,
1866,Delhi,India,
1867,Delhi,India,
1868,Delhi,India,
1869,Delhi,India,
1870,Delhi,India,24.89
1871,Delhi,India,24.88
1872,Delhi,India,24.94
1873,Delhi,India,25.06
1874,Delhi,India,24.25
1875,Delhi,India,25.38
1876,Delhi,India,24.93
1877,Delhi,India,25.08
1878,Delhi,India,25.18
1879,Delhi,India,24.86
1880,Delhi,India,25.45
1881,Delhi,India,25.09
1882,Delhi,India,24.89
1883,Delhi,India,24.82
1884,Delhi,India,24.67
1885,Delhi,India,24.38
1886,Delhi,India,24.89
1887,Delhi,India,24.90
1888,Delhi,India,24.88
1889,Delhi,India,25.21
1890,Delhi,India,25.06
1891,Delhi,India,24.68
1892,Delhi,India,25.49
1893,Delhi,India,23.84
1894,Delhi,India,24.74
1895,Delhi,India,25.15
1896,Delhi,India,25.83
1897,Delhi,India,25.39
1898,Delhi,India,25.55
1899,Delhi,India,25.86
1900,Delhi,India,25.56
1901,Delhi,India,25.49
1902,Delhi,India,25.66
1903,Delhi,India,25.14
1904,Delhi,India,25.07
1905,Delhi,India,24.75
1906,Delhi,India,25.17
1907,Delhi,India,25.02
1908,Delhi,India,25.14
1909,Delhi,India,24.75
1910,Delhi,India,24.81
1911,Delhi,India,25.36
1912,Delhi,India,25.25
1913,Delhi,India,24.94
1914,Delhi,India,25.12
1915,Delhi,India,25.73
1916,Delhi,India,25.07
1917,Delhi,India,23.84
1918,Delhi,India,25.28
1919,Delhi,India,24.84
1920,Delhi,India,24.99
1921,Delhi,India,26.04
1922,Delhi,India,25.18
1923,Delhi,India,25.26
1924,Delhi,India,24.98
1925,Delhi,India,24.85
1926,Delhi,India,24.78
1927,Delhi,India,24.73
1928,Delhi,India,25.65
1929,Delhi,India,25.39
1930,Delhi,India,25.10
1931,Delhi,India,25.58
1932,Delhi,India,25.63
1933,Delhi,India,24.52
1934,Delhi,India,24.96
1935,Delhi,India,24.81
1936,Delhi,India,24.76
1937,Delhi,India,24.81
1938,Delhi,India,25.36
1939,Delhi,India,25.24
1940,Delhi,India,25.07
1941,Delhi,India,26.30
1942,Delhi,India,25.40
1943,Delhi,India,25.25
1944,Delhi,India,24.98
1945,Delhi,India,24.78
1946,Delhi,India,25.47
1947,Delhi,India,25.72
1948,Delhi,India,25.45
1949,Delhi,India,25.60
1950,Delhi,India,24.66
1951,Delhi,India,25.58
1952,Delhi,India,25.84
1953,Delhi,India,26.14
1954,Delhi,India,25.68
1955,Delhi,India,25.15
1956,Delhi,India,25.30
1957,Delhi,India,24.91
1958,Delhi,India,25.93
1959,Delhi,India,25.56
1960,Delhi,India,25.53
1961,Delhi,India,24.80
1962,Delhi,India,25.18
1963,Delhi,India,25.46
1964,Delhi,India,25.05
1965,Delhi,India,25.26
1966,Delhi,India,25.52
1967,Delhi,India,24.98
1968,Delhi,India,25.02
1969,Delhi,India,25.80
1970,Delhi,India,25.39
1971,Delhi,India,24.81
1972,Delhi,India,25.42
1973,Delhi,India,25.56
1974,Delhi,India,25.52
1975,Delhi,India,25.02
1976,Delhi,India,25.33
1977,Delhi,India,25.41
1978,Delhi,India,25.21
1979,Delhi,India,25.81
1980,Delhi,India,26.02
1981,Delhi,India,25.79
1982,Delhi,India,25.18
1983,Delhi,India,24.75
1984,Delhi,India,25.56
1985,Delhi,India,25.86
1986,Delhi,India,25.31
1987,Delhi,India,26.54
1988,Delhi,India,26.11
1989,Delhi,India,25.43
1990,Delhi,India,25.54
1991,Delhi,India,25.74
1992,Delhi,India,25.52
1993,Delhi,India,25.92
1994,Delhi,India,25.87
1995,Delhi,India,25.92
1996,Delhi,India,25.55
1997,Delhi,India,24.71
1998,Delhi,India,25.77
1999,Delhi,India,26.36
2000,Delhi,India,26.05
2001,Delhi,India,25.86
2002,Delhi,India,26.63
2003,Delhi,India,25.72
2004,Delhi,India,26.24
2005,Delhi,India,25.72
2006,Delhi,India,26.37
2007,Delhi,India,26.15
2008,Delhi,India,25.68
2009,Delhi,India,26.55
2010,Delhi,India,26.52
2011,Delhi,India,25.63
2012,Delhi,India,25.89
2013,Delhi,India,26.71
